Time: 518.63, Detected Patient: 1940, DetectionCount: 1
Time: 522.00, Detected Patient: 1933, DetectionCount: 1
Time: 522.10, Detected Patient: 1922, DetectionCount: 1
Time: 522.24, Detected Patient: 1868, DetectionCount: 1
Time: 522.35, Detected Patient: 1945, DetectionCount: 1
Time: 525.32, Detected Patient: 1797, DetectionCount: 1
Time: 526.50, Detected Patient: 1956, DetectionCount: 1
Time: 535.69, Detected Patient: 1955, DetectionCount: 1
Time: 540.00, Detected Patient: 1989, DetectionCount: 1
Time: 540.29, Detected Patient: 1970, DetectionCount: 1
Time: 540.85, Detected Patient: 1879, DetectionCount: 1
Time: 545.90, Detected Patient: 1958, DetectionCount: 1
Time: 547.47, Detected Patient: 2041, DetectionCount: 1
Time: 551.02, Detected Patient: 2004, DetectionCount: 1
Time: 552.10, Detected Patient: 1983, DetectionCount: 1
Time: 553.80, Detected Patient: 2047, DetectionCount: 1
Time: 560.43, Detected Patient: 2078, DetectionCount: 1
Time: 562.24, Detected Patient: 1927, DetectionCount: 1
Time: 565.38, Detected Patient: 1996, DetectionCount: 1
Time: 567.44, Detected Patient: 1979, DetectionCount: 1
Time: 570.22, Detected Patient: 1998, DetectionCount: 1
Time: 571.24, Detected Patient: 2017, DetectionCount: 1
Time: 589.92, Detected Patient: 2129, DetectionCount: 1
Time: 591.26, Detected Patient: 2151, DetectionCount: 1
Time: 602.45, Detected Patient: 2143, DetectionCount: 1
Time: 604.43, Detected Patient: 2146, DetectionCount: 1
Time: 607.18, Detected Patient: 2161, DetectionCount: 1
Time: 607.93, Detected Patient: 2202, DetectionCount: 1
Time: 610.84, Detected Patient: 2172, DetectionCount: 1
Time: 611.74, Detected Patient: 2166, DetectionCount: 1
Time: 614.28, Detected Patient: 2222, DetectionCount: 1
Time: 618.87, Detected Patient: 2255, DetectionCount: 1
Time: 621.35, Detected Patient: 2232, DetectionCount: 1
Time: 621.67, Detected Patient: 2180, DetectionCount: 1
Time: 622.45, Detected Patient: 2201, DetectionCount: 1
Time: 622.62, Detected Patient: 2243, DetectionCount: 1
Time: 633.47, Detected Patient: 2275, DetectionCount: 1
Time: 637.14, Detected Patient: 2300, DetectionCount: 1
Time: 638.64, Detected Patient: 2263, DetectionCount: 1
Time: 640.57, Detected Patient: 2258, DetectionCount: 1
Time: 644.90, Detected Patient: 2297, DetectionCount: 1
Time: 647.85, Detected Patient: 2334, DetectionCount: 1
Time: 651.08, Detected Patient: 2322, DetectionCount: 1
Time: 653.39, Detected Patient: 2384, DetectionCount: 1
Time: 661.17, Detected Patient: 2380, DetectionCount: 1
