"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
106,"true",0.5,7.0,5474.0,2604,0.31013611901411353,0.49300967890612996,0.2046468687490383,15814
122,"true",0.5,7.0,5474.0,3007,0.32907820406403676,0.540121061617259,0.2055813953488372,18016
138,"true",0.5,7.0,5474.0,3480,0.3486501587380903,0.5933303153764902,0.20554969084602623,20458
154,"true",0.5,7.0,5474.0,4013,0.3687442095099361,0.6346153846153846,0.20286727300755356,22416
170,"true",0.5,7.0,5474.0,4548,0.38722156096597055,0.6843325092707045,0.20909372100216517,24180
186,"true",0.5,7.0,5474.0,5112,0.40591033821162065,0.7220742597524675,0.223232481580185,25352
11,"true",0.5,7.0,5474.0,670,0.22362502543630214,0.21668723010487353,0.2111829944547135,1498
27,"true",0.5,7.0,5474.0,919,0.23064450199201447,0.24965914255415847,0.21079691516709512,2958
43,"true",0.5,7.0,5474.0,1208,0.24474604399623653,0.28075906050707733,0.1970496894409938,5358
59,"true",0.5,7.0,5474.0,1494,0.2580502951251981,0.3261749144102085,0.2047818661698494,7522
75,"true",0.5,7.0,5474.0,1830,0.2736352407225035,0.3867852215238387,0.21092077087794434,10250
91,"true",0.5,7.0,5474.0,2239,0.2924326461315285,0.45587106676899464,0.22000919258464838,13004
107,"true",0.5,7.0,5474.0,2642,0.31197067494692415,0.49479007048728163,0.2036497469713234,16110
123,"true",0.5,7.0,5474.0,3082,0.33183814662940864,0.5477873386601106,0.21142593162919618,18344
139,"true",0.5,7.0,5474.0,3590,0.3521876082403801,0.5992538473496036,0.20884406516679596,20586
155,"true",0.5,7.0,5474.0,4130,0.37218064728947875,0.64275966641395,0.20051569846807218,22896
171,"true",0.5,7.0,5474.0,4675,0.3915672297452669,0.6828031350852928,0.21517432038089387,24452
187,"true",0.5,7.0,5474.0,5229,0.41028095726707137,0.7128620367486764,0.21645156274296376,25588
12,"true",0.5,7.0,5474.0,647,0.2116965813323109,0.2106544901065449,0.19963453631795341,1622
28,"true",0.5,7.0,5474.0,899,0.22662092603997172,0.24980913116506337,0.20773093897428094,3268
44,"true",0.5,7.0,5474.0,1176,0.23976552062142173,0.2827660557523487,0.20214888718342286,5486
60,"true",0.5,7.0,5474.0,1488,0.25534226267217974,0.34258549302254254,0.21092192053996012,7644
76,"true",0.5,7.0,5474.0,1837,0.2745886926369295,0.4018606069849016,0.21602573923701548,11054
92,"true",0.5,7.0,5474.0,2181,0.29285924758078724,0.4523510971786834,0.2024780426599749,13336
108,"true",0.5,7.0,5474.0,2589,0.3137694711281501,0.5135135135135135,0.20895750535004587,16126
124,"true",0.5,7.0,5474.0,3072,0.333326876308626,0.5496617466174661,0.20795576716326217,18910
140,"true",0.5,7.0,5474.0,3528,0.3539289201301516,0.6103956555469356,0.2094354215003867,20832
156,"true",0.5,7.0,5474.0,4058,0.3738434960715408,0.6453461359764596,0.2049332919640087,22676
172,"true",0.5,7.0,5474.0,4619,0.39292342070635533,0.6824261275272162,0.20335039553280596,24474
188,"true",0.5,7.0,5474.0,5201,0.4112709353325173,0.7209662434190152,0.2091260634184068,25938
13,"true",0.5,7.0,5474.0,651,0.21954704468988212,0.2141639547497288,0.20816579028765853,1738
29,"true",0.5,7.0,5474.0,892,0.22803909246500104,0.25614785397892165,0.20926688004877306,3204
45,"true",0.5,7.0,5474.0,1185,0.23846865684572896,0.2669341151056936,0.19814671814671814,5172
61,"true",0.5,7.0,5474.0,1488,0.2544106940622934,0.32450738916256155,0.2006153846153846,7686
77,"true",0.5,7.0,5474.0,1837,0.2730889683884285,0.386488131466829,0.2135225885225885,10526
93,"true",0.5,7.0,5474.0,2222,0.293360248169447,0.45186360031720857,0.206657201451333,13484
109,"true",0.5,7.0,5474.0,2635,0.3112279833952299,0.48992981385413487,0.20054861322767448,15938
125,"true",0.5,7.0,5474.0,3076,0.3315154470967358,0.5609831029185868,0.20384024577572965,18756
141,"true",0.5,7.0,5474.0,3581,0.35193401930693163,0.6040207127627171,0.21077461573580886,20978
157,"true",0.5,7.0,5474.0,4079,0.37156982038267117,0.6378420641125879,0.20649106302916276,22652
173,"true",0.5,7.0,5474.0,4644,0.39140413722561274,0.6938008766437069,0.20103092783505155,24654
189,"true",0.5,7.0,5474.0,5176,0.40999655582308064,0.7227480916030534,0.19669876203576342,26310
14,"true",0.5,7.0,5474.0,662,0.22373988363752217,0.21563798676312143,0.20307455803228286,2058
30,"true",0.5,7.0,5474.0,913,0.2344727923916268,0.2557516545855657,0.20601669554260513,3430
46,"true",0.5,7.0,5474.0,1223,0.24797252706229309,0.30118232731798383,0.21914396887159532,5808
62,"true",0.5,7.0,5474.0,1538,0.26151604479107,0.3464443045940843,0.20580847723704868,7848
78,"true",0.5,7.0,5474.0,1886,0.2786384392566808,0.3880847173548682,0.20875113947128532,10918
94,"true",0.5,7.0,5474.0,2243,0.2981292471897681,0.45614035087719296,0.20876729364215763,13576
