"run","allowImportationsDuringBurnIn","isBatchRun","isolatePatientWhenDetected","doActiveSurveillanceAfterBurnIn","isolationEffectiveness","diseaseName","shape1","shape2","importationRate","isActiveSurveillanceAgent","beta","extraIteration","prob1","midstaySurveillanceAdherence","daysBetweenTests","simulationDurationAfterBurnIn","randomSeed","admissionSurveillanceAdherence","meanDetectionTime","avgDecolonizationTime","scale2","scale1","probSurveillanceDetection","burnInPeriod"
174,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.72,2,0.62531,0.954,7.0,5475,-929293834,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
192,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.9,2,0.62531,0.954,7.0,5475,-929262193,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
210,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.07,3,0.62531,0.954,7.0,5475,-929210214,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
228,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.25,3,0.62531,0.954,7.0,5475,-929182978,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
246,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.43,3,0.62531,0.954,7.0,5475,-929146663,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
264,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.61,3,0.62531,0.954,7.0,5475,-929112434,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
282,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.79,3,0.62531,0.954,7.0,5475,-929071130,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
300,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.97,3,0.62531,0.954,7.0,5475,-929029889,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
318,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.14,4,0.62531,0.954,7.0,5475,-928979944,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
336,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.32,4,0.62531,0.954,7.0,5475,-928940191,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
354,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.5,4,0.62531,0.954,7.0,5475,-928906437,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
372,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.68,4,0.62531,0.954,7.0,5475,-928861585,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
390,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.86,4,0.62531,0.954,7.0,5475,-928821294,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
13,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.12,1,0.62531,0.954,7.0,5475,-929611101,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
31,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.3,1,0.62531,0.954,7.0,5475,-929558607,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
49,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.48,1,0.62531,0.954,7.0,5475,-929523086,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
67,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.66,1,0.62531,0.954,7.0,5475,-929485950,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
85,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.84,1,0.62531,0.954,7.0,5475,-929438277,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
103,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.01,2,0.62531,0.954,7.0,5475,-929391903,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
121,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.19,2,0.62531,0.954,7.0,5475,-929387907,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
139,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.37,2,0.62531,0.954,7.0,5475,-929339105,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
157,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.55,2,0.62531,0.954,7.0,5475,-929295055,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
175,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.73,2,0.62531,0.954,7.0,5475,-929256575,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
193,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.91,2,0.62531,0.954,7.0,5475,-929212791,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
211,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.08,3,0.62531,0.954,7.0,5475,-929150536,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
229,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.26,3,0.62531,0.954,7.0,5475,-929119237,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
247,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.44,3,0.62531,0.954,7.0,5475,-929077730,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
265,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.62,3,0.62531,0.954,7.0,5475,-929046505,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
