"run","allowImportationsDuringBurnIn","isBatchRun","isolatePatientWhenDetected","doActiveSurveillanceAfterBurnIn","isolationEffectiveness","diseaseName","shape1","shape2","importationRate","isActiveSurveillanceAgent","beta","extraIteration","prob1","midstaySurveillanceAdherence","daysBetweenTests","simulationDurationAfterBurnIn","randomSeed","admissionSurveillanceAdherence","meanDetectionTime","avgDecolonizationTime","scale2","scale1","probSurveillanceDetection","burnInPeriod"
20,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.019,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
36,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.035,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
52,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.051,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
68,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.067,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
84,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.083,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
100,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.099,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
116,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.115,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
132,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.131,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
148,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.147,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
164,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.163,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
