"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
379,"false",0.5,7.0,5474.0,3490,0.9745226603566943,0.9756248071582845,0.20309358081979892,36222
397,"false",0.5,7.0,5474.0,3444,0.9747977254177284,0.9824751861042184,0.2132034632034632,36508
10,"false",0.5,7.0,5474.0,1989,0.6336618417616974,0.6226356589147287,0.20837209302325582,21226
28,"false",0.5,7.0,5474.0,3197,0.9229364485178185,0.9255980118049083,0.20348475420037337,34116
46,"false",0.5,7.0,5474.0,3374,0.9556360313245449,0.9610409848839021,0.20511620652004367,35606
64,"false",0.5,7.0,5474.0,3388,0.9644514654573629,0.9707385044124478,0.1911696359411309,36834
82,"false",0.5,7.0,5474.0,3585,0.9709542983743951,0.9719583205638983,0.2096130221130221,36986
100,"false",0.5,7.0,5474.0,3737,0.9741529749559361,0.9825885978428351,0.19530284301606923,37562
118,"false",0.5,7.0,5474.0,2722,0.8330801492758323,0.8289214944788988,0.20653654108034497,30758
136,"false",0.5,7.0,5474.0,3260,0.9363618896264428,0.9464594127806563,0.20219952867242733,34748
154,"false",0.5,7.0,5474.0,3474,0.9637937844638386,0.9670819873865559,0.21224741631960511,35758
172,"false",0.5,7.0,5474.0,3509,0.9712175439251283,0.9788116075541226,0.20131962559459873,36602
190,"false",0.5,7.0,5474.0,3518,0.9778004593742798,0.9806955722383943,0.20947707406839441,36362
208,"false",0.5,7.0,5474.0,1359,0.42152811064671575,0.41890829007393426,0.21525157232704403,11120
226,"false",0.5,7.0,5474.0,3026,0.9008035458744487,0.9011888219854871,0.20117519715478582,33718
244,"false",0.5,7.0,5474.0,3400,0.956178946299259,0.9584758942457232,0.20915032679738563,34946
262,"false",0.5,7.0,5474.0,3530,0.9669796920418098,0.9714636391531144,0.21058298723273342,36322
280,"false",0.5,7.0,5474.0,3571,0.9723020434993216,0.9806001818732949,0.20360278534665455,36096
298,"false",0.5,7.0,5474.0,3634,0.9749324065921425,0.9813932031370137,0.20703424973122408,37550
316,"false",0.5,7.0,5474.0,2418,0.7545948847295983,0.7471459426103054,0.20867417811390646,26636
334,"false",0.5,7.0,5474.0,3192,0.9246850944231728,0.9284937043370123,0.20436477007014808,34918
352,"false",0.5,7.0,5474.0,3503,0.9582797974290268,0.9644078333851415,0.20068450528935905,35914
370,"false",0.5,7.0,5474.0,3582,0.9700612983034398,0.9790437752250853,0.20721280895383182,36198
388,"false",0.5,7.0,5474.0,3627,0.9737435309880045,0.9809744779582367,0.20682204043833924,36844
11,"false",0.5,7.0,5474.0,2208,0.6708972657178836,0.6852863161179591,0.2047872340425532,23576
29,"false",0.5,7.0,5474.0,3176,0.9279664428048624,0.926094890510949,0.2079538554948391,34140
47,"false",0.5,7.0,5474.0,3574,0.9582029988501554,0.9618414954426078,0.20751507654244628,36158
65,"false",0.5,7.0,5474.0,3539,0.9670976841233165,0.9733581164807931,0.20744186046511628,36192
83,"false",0.5,7.0,5474.0,3578,0.9722651482528855,0.9786363636363636,0.20226586102719032,38024
101,"false",0.5,7.0,5474.0,3654,0.9791971327532855,0.9825027339478206,0.2066167290886392,36928
119,"false",0.5,7.0,5474.0,2848,0.8408943061920486,0.8488408521303258,0.20792854904418678,31686
137,"false",0.5,7.0,5474.0,3407,0.9445424554701254,0.9483678593848085,0.20998116760828625,34304
155,"false",0.5,7.0,5474.0,3463,0.9646849921645846,0.9666718579660489,0.20362556649476482,35756
173,"false",0.5,7.0,5474.0,3434,0.9708300246220397,0.9768097774992165,0.20902983908764255,36142
191,"false",0.5,7.0,5474.0,3494,0.9729481320561423,0.9791405269761606,0.19990622069396685,37002
209,"false",0.5,7.0,5474.0,1464,0.4760129800467043,0.4384416374980977,0.19491396375818487,13844
227,"false",0.5,7.0,5474.0,3120,0.9017763873729381,0.9086465016804155,0.20607077486272118,34452
245,"false",0.5,7.0,5474.0,3294,0.9549264111310014,0.9600853138330286,0.20493300852618757,35436
263,"false",0.5,7.0,5474.0,3621,0.9685762068368496,0.9702011798517622,0.2057091073855913,36778
281,"false",0.5,7.0,5474.0,3544,0.9711561314152773,0.9765013054830287,0.20540789675833462,37064
299,"false",0.5,7.0,5474.0,3530,0.9790366997235777,0.982618227372377,0.20929868503443957,36394
317,"false",0.5,7.0,5474.0,2505,0.7723387451219047,0.7674028941355674,0.20188937985677283,28460
335,"false",0.5,7.0,5474.0,3277,0.9354404572238774,0.9376831713712788,0.19529193123741675,34674
353,"false",0.5,7.0,5474.0,3492,0.9606993895339019,0.9625724045744839,0.20708122582564714,36194
371,"false",0.5,7.0,5474.0,3503,0.969344067685673,0.973101752228712,0.1956016726033762,36348
389,"false",0.5,7.0,5474.0,3579,0.9751618450020798,0.9763732129420617,0.19741974197419743,37278
12,"false",0.5,7.0,5474.0,2349,0.7226395115010922,0.7104277240087418,0.2081581815351082,24728
30,"false",0.5,7.0,5474.0,3171,0.9275368347472875,0.9328007518796992,0.2050438596491228,33552
48,"false",0.5,7.0,5474.0,3306,0.9584442379820115,0.9630619302106256,0.2075353218210361,35246
66,"false",0.5,7.0,5474.0,3508,0.9696282962014579,0.9731066460587326,0.20293890177880897,36256
84,"false",0.5,7.0,5474.0,3489,0.973945094354477,0.9815903465346535,0.2066192390968141,37028
102,"false",0.5,7.0,5474.0,742,0.18941212294352008,0.18773176761433868,0.20144994601264846,0
120,"false",0.5,7.0,5474.0,2825,0.8577607894440245,0.8507462686567164,0.20698596705308114,31700
138,"false",0.5,7.0,5474.0,3353,0.9455172097952973,0.9501466275659824,0.21024133663366337,34756
156,"false",0.5,7.0,5474.0,3476,0.9631013095004354,0.9687836383207751,0.21201413427561838,35590
174,"false",0.5,7.0,5474.0,3507,0.9738761960642432,0.9783543137856924,0.20285407396041122,35946
192,"false",0.5,7.0,5474.0,3464,0.9751483510438943,0.9818489463159514,0.20869297163995068,37474
210,"false",0.5,7.0,5474.0,1652,0.5582582350348618,0.5389993784959602,0.20368059887710543,16976
228,"false",0.5,7.0,5474.0,3089,0.9090149859776253,0.9127155172413793,0.2102263976590174,33332
246,"false",0.5,7.0,5474.0,3408,0.9551785584861661,0.9580289134152029,0.20622568093385213,35714
264,"false",0.5,7.0,5474.0,3459,0.9677336355289781,0.9740996168582375,0.21350896002450606,36620
282,"false",0.5,7.0,5474.0,3504,0.9735305400547603,0.9816170743106403,0.21005778541308762,36092
300,"false",0.5,7.0,5474.0,3707,0.9753835784349536,0.9806321660985435,0.2174856611378081,37442
318,"false",0.5,7.0,5474.0,2608,0.794985104325019,0.7917381137957911,0.20383955049164976,29180
336,"false",0.5,7.0,5474.0,3229,0.9385269481540024,0.9413229571984436,0.2049612403100775,34494
354,"false",0.5,7.0,5474.0,3508,0.9560445310209603,0.9615922873581092,0.2048024786986832,36296
372,"false",0.5,7.0,5474.0,3412,0.9674788028996056,0.975011640540121,0.2056407872307454,36230
390,"false",0.5,7.0,5474.0,3504,0.9738729072195454,0.9797191887675507,0.21243361449547016,36886
13,"false",0.5,7.0,5474.0,2321,0.7380166852732061,0.7444927086565312,0.20475746268656717,26758
31,"false",0.5,7.0,5474.0,3383,0.9343656153858146,0.9356495468277946,0.21901014075980021,34720
49,"false",0.5,7.0,5474.0,3440,0.9577843358777787,0.962640099626401,0.2019650655021834,35574
67,"false",0.5,7.0,5474.0,3582,0.9664876995695255,0.9739765636889363,0.20322482506845146,37018
85,"false",0.5,7.0,5474.0,3536,0.9745743525091733,0.9797577058733323,0.20012268057046464,36854
103,"false",0.5,7.0,5474.0,820,0.21087384546301785,0.20908097987205493,0.19840649898453366,1622
121,"false",0.5,7.0,5474.0,2870,0.8692485272263809,0.8739975323874152,0.21177925490802288,32664
139,"false",0.5,7.0,5474.0,3341,0.9463316730023658,0.9463118580765639,0.20220702517873795,35254
157,"false",0.5,7.0,5474.0,3428,0.9671908682844921,0.967994879180669,0.2056941778630838,35334
175,"false",0.5,7.0,5474.0,3543,0.9711412168572499,0.9738521400778211,0.20429438307141745,36484
193,"false",0.5,7.0,5474.0,3535,0.9736353326058507,0.9820341047503045,0.19670882218497637,37722
211,"false",0.5,7.0,5474.0,1901,0.5927448017076923,0.5905695611577965,0.21741161812801743,18930
229,"false",0.5,7.0,5474.0,3069,0.9195938427431088,0.9217577706323687,0.2056346654417394,33844
247,"false",0.5,7.0,5474.0,3389,0.9589290849284944,0.9607479524030289,0.21050185873605948,35032
265,"false",0.5,7.0,5474.0,3449,0.9666262776356275,0.9733395696913003,0.2032898820608318,36356
283,"false",0.5,7.0,5474.0,3524,0.9712119284519422,0.9781463112213267,0.20031007751937985,36848
301,"false",0.5,7.0,5474.0,3511,0.9761812890663695,0.9836167888906225,0.212130686259184,36344
319,"false",0.5,7.0,5474.0,2661,0.8173594118633308,0.8106256660070026,0.2022266280311118,30038
337,"false",0.5,7.0,5474.0,3265,0.9402099321759333,0.9401936289818863,0.19887867933343717,34746
355,"false",0.5,7.0,5474.0,3387,0.9613522955520687,0.9653799019607843,0.21428571428571427,35756
373,"false",0.5,7.0,5474.0,3584,0.9669068299984493,0.9729606562357588,0.20978277381133223,37178
391,"false",0.5,7.0,5474.0,3445,0.9728898303370355,0.9803738317757009,0.20304489669100512,36980
14,"false",0.5,7.0,5474.0,2412,0.7660481373492559,0.7732843137254902,0.21590214067278288,27744
32,"false",0.5,7.0,5474.0,3269,0.9312498567411863,0.9405330457556617,0.20889300602130617,34942
50,"false",0.5,7.0,5474.0,3431,0.9595133354382019,0.9601642086057472,0.19573495811119573,36672
68,"false",0.5,7.0,5474.0,3625,0.9731161342540954,0.9737937413288115,0.2059095106186519,36390
86,"false",0.5,7.0,5474.0,3582,0.9720466461380076,0.9839964104098116,0.21264196054991033,37768
104,"false",0.5,7.0,5474.0,899,0.2676161388756896,0.2749071782178218,0.2184014869888476,3574
122,"false",0.5,7.0,5474.0,2973,0.8792363004854798,0.8806578153289076,0.2049811320754717,33300
140,"false",0.5,7.0,5474.0,3331,0.9468529413909162,0.9499001075764562,0.21152959262106072,35334
158,"false",0.5,7.0,5474.0,3475,0.9644562592674896,0.969856237440099,0.20154798761609907,36060
176,"false",0.5,7.0,5474.0,3493,0.9716089008288183,0.9755871446229913,0.20430273951400713,36932
194,"false",0.5,7.0,5474.0,3663,0.9726813263358527,0.980760490834722,0.2112739912346985,37848
212,"false",0.5,7.0,5474.0,2063,0.6410606636839544,0.6336618650492798,0.20500758725341425,21570
230,"false",0.5,7.0,5474.0,3260,0.9209551449204324,0.9237091021863855,0.20452783377267794,34018
248,"false",0.5,7.0,5474.0,3277,0.9576078478727529,0.9622052163048571,0.2087894901470128,35214
266,"false",0.5,7.0,5474.0,3587,0.9718556601323373,0.9747699143129165,0.20066730219256435,35894
284,"false",0.5,7.0,5474.0,3563,0.97312659279545,0.9771015829107116,0.20894371626831149,36594
302,"false",0.5,7.0,5474.0,3597,0.9760640325662429,0.9796106086156676,0.2132476671255928,36808
320,"false",0.5,7.0,5474.0,2666,0.8267431449316023,0.826908069299204,0.19865792759051187,30584
338,"false",0.5,7.0,5474.0,3368,0.943129302479581,0.9454145036967123,0.20078864353312303,34556
356,"false",0.5,7.0,5474.0,3383,0.964321165444546,0.9690959409594095,0.20138674884437596,35498
374,"false",0.5,7.0,5474.0,3530,0.9703332854347588,0.9745055624227441,0.19706336939721794,36262
392,"false",0.5,7.0,5474.0,3519,0.9745776388141617,0.9790177183711533,0.20924082140634723,37022
15,"false",0.5,7.0,5474.0,2610,0.8064033033404574,0.79763018397256,0.21288515406162464,28306
33,"false",0.5,7.0,5474.0,3278,0.9344581830567197,0.9349309874108903,0.2133313088369268,34852
51,"false",0.5,7.0,5474.0,3412,0.9578608303905566,0.9650061124694377,0.20510079413561394,36192
69,"false",0.5,7.0,5474.0,3487,0.9670655446938315,0.9723567077932219,0.20619841146238904,36124
87,"false",0.5,7.0,5474.0,3505,0.9747533037798751,0.9808997632202052,0.20401073740723197,36240
105,"false",0.5,7.0,5474.0,1011,0.2981020593209298,0.29047692545145853,0.20566826699705745,5852
123,"false",0.5,7.0,5474.0,2958,0.887908554918579,0.8975894123207815,0.20811784986679205,32478
141,"false",0.5,7.0,5474.0,3391,0.9489053082843945,0.9513984410820725,0.20855614973262032,35076
159,"false",0.5,7.0,5474.0,3503,0.9678950893225755,0.9727035730716148,0.20413476263399694,36664
177,"false",0.5,7.0,5474.0,3524,0.9693016250553123,0.9753822629969419,0.20546064673581452,36614
195,"false",0.5,7.0,5474.0,3664,0.9748936449208938,0.9785876993166287,0.20910470409711684,37352
213,"false",0.5,7.0,5474.0,2217,0.6918858037863985,0.6774844720496894,0.20984977543750968,23400
